Iter;Result;S1_AVG_SLA;S1_MIN_SLA;S1_MAX_SLA;S1_VAR_SLA;S1_STD_SLA;S1_LB_FP;S1_DNS_FP;S1_LB_ACT;S1_DNS_ACT;S2_AVG_SLA;S2_MIN_SLA;S2_MAX_SLA;S2_VAR_SLA;S2_STD_SLA;S2_LB_FP;S2_DNS_FP;S2_LB_ACT;S2_DNS_ACT
1;94287,0;0,534;0,1053;1,0;816,0;0,286;107;225;48;116;0,533;0,06897;1,0;957,0;0,3094;122;225;56;118
2;45540,0;0,768;0,361;1,0;465,0;0,216;159;314;68;126;0,762;0,172;1,0;838,0;0,2895;156;305;64;124
3;7146,0;0,958;0,773;1,0;41,4;0,0643;197;384;54;114;0,9027;0,385;1,0;236,0;0,154;193;366;60;120
4;716,0;0,949;0,7499999999999999;1,0;85,5;0,0925;220;422;66;126;0,993;0,925;1,0;2,99;0,0173;208;406;60;120
5;714,0;0,997;0,958;1,0;0,791;0,00889;209;442;54;114;0,9905;0,714;1,0;26,3;0,0513;207;424;60;120
6;179,0;0,991;0,9201;1,0;4,49;0,0212;206;467;66;126;0,987;0,894;1,0;7,605;0,0276;222;446;60;120
7;0,11;1,0;1,0;1,0;0;0;225;486;54;114;0,997;0,955;1,0;0,771;0,00878;252;470;60;120
8;179,0;0,992;0,833;1,0;9,56;0,03092;228;496;66;126;1,0;1,0;1,0;0;0;262;480;60;120
9;0,198;1,0;1,0;1,0;0;0;244;475;54;114;0,995;0,931;1,0;2,197;0,0148;261;477;60;120
10;3750,0;0,967;0,526;1,0;94,6;0,0973;248;466;66;126;0,995;0,862;1,0;6,13;0,0248;267;451;60;120
